Unnamed: 0,n_citi,bed,bath,sqft,price,img_f1,img_f2,img_f3,img_f4,img_f5
4419,249,2,2.0,1040,215000,0.0,4.018009,0.0,0.0,6.8538637
3455,96,4,2.1,1933,684900,0.0,0.91965353,0.0,0.0,1.7494572
3344,124,3,2.0,1213,679000,0.0,1.7771232,0.0,0.0,1.835056
4342,141,2,2.0,1209,219000,0.0,0.70346004,0.0,0.0,0.6546072
1071,248,2,1.0,564,359000,0.0,1.0149648,0.0,0.0,0.542843
9529,197,3,2.0,1187,454000,0.0,0.32617858,0.0,0.0,0.22003898
6322,300,3,3.1,3300,879000,0.0,0.66603917,0.0,0.0,1.3672402
6605,299,5,5.1,4771,1890000,0.0,1.1843516,0.0,0.0,1.212392
4601,154,2,2.0,1257,298300,0.0,1.6527578,0.0,0.0,1.6569656
10387,197,7,4.0,3066,769500,0.0,0.8191135,0.0,0.0,2.3071399
12349,372,3,2.0,1646,769000,0.0,0.44705445,0.0,0.0,1.6033818
409,6,5,3.0,2629,1088000,0.0,1.0650803,0.0,0.0,1.7641606
12440,372,4,3.0,2673,879888,0.0,1.6777208,0.0,0.0,1.6813047
10727,327,4,3.1,3346,985000,0.0,0.93469846,0.0,0.0,1.9220346
3574,124,4,2.0,1791,725000,0.0,1.5702701,0.0,0.0,1.8104882
576,277,3,1.0,1000,226000,0.0,1.0841687,0.0,0.0,2.0003142
12265,349,4,2.1,2622,675000,0.0,1.173398,0.0,0.0,1.7548598
7065,318,3,1.0,1087,319900,0.0,2.027955,0.0,0.0,6.2088046
11487,242,4,3.0,3236,839000,0.0,0.6827003,0.0,0.0,0.5239633
713,193,3,3.0,1672,294900,0.0,1.6909522,0.0,0.0,1.892556
4877,71,3,2.0,1680,395000,0.0,1.0933242,0.0,0.0,1.714063
11193,230,3,2.0,1203,615000,0.0,0.7942594,0.0,0.0,0.42883727
1087,193,4,2.0,2266,364900,0.0,1.8629643,0.0,0.0,1.2663913
6101,310,5,4.1,4830,763588,0.0,1.1933348,0.0,0.0,2.158377
2335,281,4,3.0,2400,799000,0.0,1.5887086,0.0,0.0,0.24726598
12156,401,4,2.0,1848,598900,0.0,0.7657002,0.0,0.0,1.3814281
3592,259,4,2.1,2194,740000,0.0,1.0906096,0.0,0.0,1.8842937
2991,343,2,1.0,1000,269000,0.0,1.3554162,0.0,0.0,1.8869494
1454,267,4,3.0,2612,479000,0.0,3.0759962,0.0,0.0,3.7755132
7219,38,3,2.0,1689,359900,0.0,0.4721015,0.0,0.0,2.0754373
3035,343,2,1.1,1200,398000,0.0,1.8104151,0.0,0.0,1.83249
7316,38,3,2.0,1738,399900,0.0,0.908609,0.0,0.0,1.6159242
881,193,4,3.0,2133,299900,0.0,0.6412264,0.0,0.0,0.0
1710,91,4,2.0,1645,565000,0.0,1.1996819,0.0,0.0,1.9003847
6908,38,3,2.0,1562,289200,0.0,0.27969766,0.0,0.0,0.2997844
2981,181,2,1.0,1000,269900,0.0,1.2094623,0.0,0.0,1.5935967
4149,233,5,3.1,4372,999000,0.0,1.8286059,0.0,0.0,4.511976
5128,405,3,2.0,1629,415000,0.0,1.1011639,0.0,0.0,1.4589278
6515,182,5,3.1,4052,1000000,0.0,0.0,0.0,0.0,0.27624205
2245,410,3,2.0,1620,779900,0.0,1.0945315,0.0,0.0,1.9830576
10776,60,3,2.1,2007,1299000,0.0,0.3726516,0.0,0.0,1.847594
11177,275,4,3.0,2168,619900,0.0,0.982672,0.0,0.0,0.03294725
5524,87,4,2.1,1967,549000,0.0,1.1873574,0.0,0.0,0.3657936
9320,356,3,2.0,1068,400000,0.0,0.67203397,0.0,0.0,0.051083952
6558,304,5,5.1,5285,1395000,0.0,1.3143065,0.0,0.0,1.9103423
7217,318,3,2.0,1530,350000,0.0,0.592836,0.0,0.0,0.5673579
5682,87,5,3.0,3032,635000,0.0,0.7750413,0.0,0.0,1.5034493
4100,368,6,3.1,3500,998000,0.0,1.526849,0.0,0.0,1.5542098
7757,38,3,2.0,1808,499000,0.0,0.3016934,0.0,0.0,0.12839448
1597,63,4,2.0,1352,525000,0.0,2.1941643,0.0,0.0,2.1219213
7246,38,3,2.0,1120,369000,0.0,1.2849544,0.0,0.0,2.1677113
1097,267,3,2.0,1776,369900,0.0,0.5611437,0.0,0.0,0.85983086
394,16,3,2.0,1973,1258888,0.0,1.2388314,0.0,0.0,2.1177192
10409,256,3,1.0,953,769900,0.0,0.83383435,0.0,0.0,0.30325437
6697,414,3,2.0,1368,210000,0.0,0.46374655,0.0,0.0,0.27536052
10083,115,4,2.1,2507,669000,0.0,1.1619842,0.0,0.0,2.1944342
11973,338,2,1.0,900,439900,0.0,0.36576715,0.0,0.0,0.62296057
1180,207,2,1.0,928,445000,0.0,0.95231974,0.0,0.0,0.3251589
11606,339,2,1.0,1302,470000,0.0,0.2788174,0.0,0.0,1.8819718
1911,245,2,1.0,1037,639000,0.0,5.637652,0.0,0.0,0.32555825
9140,61,2,1.1,784,284999,0.0,0.4606498,0.0,0.0,0.28976113
9722,296,3,2.1,2192,595000,0.0,0.28672415,0.0,0.0,1.5379016
2214,207,4,3.0,1881,749000,0.0,0.7807889,0.0,0.0,1.6559819
7964,79,4,3.0,2280,599900,0.0,0.7747187,0.0,0.0,0.40705952
5186,87,4,2.0,1592,465000,0.0,1.1712598,0.0,0.0,1.6049503
12267,252,3,2.1,1366,699999,0.0,0.28197154,0.0,0.0,0.46934772
6505,79,4,3.0,3482,1188000,0.0,3.2428086,0.0,0.0,5.7619853
6497,40,3,2.0,2178,1140000,0.0,0.72486275,0.0,0.0,0.64769566
2943,343,2,1.0,718,209000,0.0,0.5960737,0.0,0.0,0.45756766
4746,265,3,2.0,1889,299900,0.0,1.6114739,0.0,0.0,1.5350688
4767,185,3,2.0,1152,299990,0.0,1.3073277,0.0,0.0,2.159095
7885,304,4,3.0,2260,499000,0.0,1.581208,0.0,0.0,3.6499596
11040,255,3,2.0,1319,484000,0.0,1.0356681,0.0,0.0,0.6827936
5324,249,4,2.1,2220,499900,0.0,1.65459,0.0,0.0,1.756775
9368,115,3,2.1,1770,444900,0.0,0.46915868,0.0,0.0,0.3793899
1691,192,3,2.0,1205,599900,0.0,1.3341472,0.0,0.0,1.8307766
7182,83,3,2.1,1576,319900,0.0,1.0128506,0.0,0.0,2.0938737
123,122,4,2.1,1897,285000,0.0,1.8184004,0.0,0.0,1.7219511
7200,143,4,3.0,1937,390000,0.0,1.7592003,0.0,0.0,3.6520598
1952,174,4,3.0,1491,645000,0.0,1.0223192,0.0,0.0,0.536217
12144,349,3,2.0,1661,620000,0.0,2.5371087,0.0,0.0,2.9748414
6277,300,4,3.1,3149,849000,0.0,0.7471133,0.0,0.0,1.5907661
11982,390,2,1.0,912,499900,0.0,1.4054333,0.0,0.0,1.641362
8314,299,5,3.0,2985,679000,0.0,0.55401003,0.0,0.0,0.65711725
2919,178,4,3.0,2836,1725000,0.0,0.45410058,0.0,0.0,1.5272564
2807,180,4,3.0,3208,1600000,0.0,1.4344995,0.0,0.0,3.6728184
9969,384,4,2.1,2592,645000,0.0,2.1501758,0.0,0.0,1.218962
5517,64,5,3.1,3327,599000,0.0,1.4998564,0.0,0.0,2.2647943
3991,303,5,3.0,2903,949900,0.0,1.1164086,0.0,0.0,2.0246258
11056,275,1,1.1,772,485000,0.0,0.042789888,0.0,0.0,1.5333604
11602,336,4,2.0,1710,454900,0.0,0.6271483,0.0,0.0,0.46733055
10434,320,4,2.1,2112,775000,0.0,1.1771243,0.0,0.0,1.326278
7700,83,3,2.1,2092,499999,0.0,0.99622643,0.0,0.0,0.27738354
6312,310,5,4.1,4895,799999,0.0,0.5614162,0.0,0.0,2.2987921
5045,29,4,3.0,2243,395000,0.0,0.95047563,0.0,0.0,1.4360629
3813,148,3,2.0,1786,799000,0.0,1.1308597,0.0,0.0,2.0144331
8541,92,3,2.1,1968,755000,0.0,3.5131836,0.0,0.0,5.1999702
1891,395,3,2.0,1320,639998,0.0,0.9490257,0.0,0.0,1.81647
8891,320,4,2.1,3093,1075000,0.0,0.10460046,0.0,0.0,1.5914711
4918,278,4,1.0,1766,399900,0.0,1.4596806,0.0,0.0,0.757861
11172,275,4,2.1,2375,619500,0.0,1.9452829,0.0,0.0,1.7197449
295,24,5,3.0,5832,799500,0.0,1.6091391,0.0,0.0,0.51672536
7518,258,3,1.0,1144,450000,0.0,0.7260367,0.0,0.0,2.2133431
3705,331,3,2.0,1406,780000,0.0,1.5260384,0.0,0.0,1.8995268
4731,228,4,2.1,1619,312000,0.0,1.0162994,0.0,0.0,0.42904443
3316,331,3,1.1,1269,620000,0.0,0.46407527,0.0,0.0,0.59098285
1785,204,3,2.0,1290,597000,0.0,1.3337598,0.0,0.0,0.083037004
9613,296,4,2.1,2526,519000,0.0,1.6564697,0.0,0.0,2.1641676
286,122,4,2.0,3383,715000,0.0,0.93080616,0.0,0.0,0.39217958
7591,258,4,2.0,1520,467900,0.0,0.9654016,0.0,0.0,1.8200806
4060,148,4,2.1,2405,929900,0.0,0.42735103,0.0,0.0,0.31843954
1758,223,3,1.0,1064,548000,0.0,0.38628438,0.0,0.0,0.1429564
4635,141,3,2.0,1380,269900,0.0,1.9058452,0.0,0.0,2.2096913
1284,193,5,4.0,3126,434999,0.0,1.824091,0.0,0.0,4.417664
7894,119,4,2.1,2765,559900,0.0,4.420898,0.0,0.0,8.900753
5453,310,4,3.0,2256,539900,0.0,1.1285083,0.0,0.0,2.204655
10565,320,2,1.0,720,899000,0.0,3.4437385,0.0,0.0,4.335772
4217,266,3,3.1,3556,1975000,0.0,0.9145255,0.0,0.0,1.5002956
6529,78,5,3.0,2702,999000,0.0,0.3927705,0.0,0.0,0.09343013
8431,92,3,2.1,1968,755000,0.0,3.5131836,0.0,0.0,5.1999702
8469,411,4,3.1,3820,739900,0.0,0.6774495,0.0,0.0,0.15947166
3094,331,4,2.0,1379,490000,0.0,0.92497736,0.0,0.0,0.36435828
9194,115,2,2.0,1440,327000,0.0,2.093721,0.0,0.0,1.7574986
549,199,1,2.0,1036,239000,0.0,0.60174716,0.0,0.0,0.71969247
4265,266,4,3.1,3391,1559000,0.0,0.8635452,0.0,0.0,1.5598434
5847,265,5,4.1,3423,689000,0.0,1.5427175,0.0,0.0,0.53346133
4605,101,3,2.0,1665,260000,0.0,0.94832045,0.0,0.0,1.8744358
8147,38,3,3.0,1726,599000,0.0,0.14809348,0.0,0.0,0.37477708
7933,38,3,2.0,1173,549000,0.0,0.7986009,0.0,0.0,0.7339474
5701,87,4,3.0,2404,625000,0.0,0.5458639,0.0,0.0,0.38436636
4281,300,4,4.1,4121,1625000,0.0,0.5484159,0.0,0.0,1.5460718
8781,381,4,3.0,3904,935000,0.0,0.89917284,0.0,0.0,0.5535351
2586,103,4,3.0,2654,929900,0.0,0.86367947,0.0,0.0,0.5545174
4093,219,5,3.0,2374,995000,0.0,0.7296371,0.0,0.0,1.5421808
11316,329,3,2.1,2865,720000,0.0,0.97427326,0.0,0.0,1.8197455
6071,266,4,2.2,1949,750000,0.0,0.48787725,0.0,0.0,0.39187273
5123,368,3,2.1,1650,406500,0.0,0.25776696,0.0,0.0,0.08188741
4708,29,2,2.0,1687,299000,0.0,0.49924642,0.0,0.0,1.5544518
6073,87,5,3.1,3528,750000,0.0,1.6177973,0.0,0.0,4.356918
5298,213,5,3.0,3279,454900,0.0,1.5726078,0.0,0.0,2.2509098
2377,107,5,3.0,2412,750000,0.0,0.4391203,0.0,0.0,0.28805304
3958,148,4,2.1,1860,999999,0.0,1.669775,0.0,0.0,1.9401672
7433,79,2,1.0,1010,425000,0.0,1.9990577,0.0,0.0,1.3498508
11368,326,3,2.1,1865,786870,0.0,2.5289488,0.0,0.0,0.07100282
8191,38,4,4.0,1960,630000,0.0,0.9993322,0.0,0.0,1.8561338
6604,413,4,4.2,5847,1495000,0.0,1.0164447,0.0,0.0,1.9519418
5749,87,5,3.0,3076,629980,0.0,1.8695765,0.0,0.0,3.7847903
7655,119,3,2.1,2621,465000,0.0,0.1658258,0.0,0.0,1.326343
5272,368,4,3.0,2144,479900,0.0,2.0170949,0.0,0.0,1.8652364
9395,296,4,3.1,3098,425000,0.0,0.14837469,0.0,0.0,0.28519776
7334,391,4,3.0,3393,379000,0.0,1.7642382,0.0,0.0,4.163694
8675,182,3,3.1,2396,848500,0.0,0.8320857,0.0,0.0,1.875974
3508,215,3,2.0,1344,754900,0.0,0.43690977,0.0,0.0,0.4531101
2585,139,3,2.0,2260,990000,0.0,1.1149141,0.0,0.0,1.8435476
1303,211,3,2.0,961,395000,0.0,2.2439656,0.0,0.0,2.8136752
5636,368,4,2.1,2794,599000,0.0,0.9989758,0.0,0.0,1.9420142
6118,141,4,2.0,2737,775000,0.0,1.8356541,0.0,0.0,1.9478637
7593,38,3,2.0,1808,499000,0.0,0.3016934,0.0,0.0,0.12839448
5716,266,4,3.0,2008,635000,0.0,3.6831946,0.0,0.0,5.0311465
10384,115,5,4.1,3640,747900,0.0,2.2586,0.0,0.0,5.063084
3069,343,2,1.1,1150,399000,0.0,1.0118656,0.0,0.0,1.6658233
